t,dash_btn2_pressed,dash_btn1_pressed,st_wheel_btn4_pressed,st_wheel_btn3_pressed,st_wheel_btn2_pressed,st_wheel_btn1_pressed
1751195521.203050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.253000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.303000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.353050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.403000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.453050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.503000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.553000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.603050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.653000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.703050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.753000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.803000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.853050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.903000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.953050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.053000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.103050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.153250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.203000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.253000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.303000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.353050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.403000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.453000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.503000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195522.553000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
