t,sensor_imu_gps_status,sensor_imu_gps_longitude,sensor_imu_gps_latitude
1751195522.612600,0.000000,0.000000,0.000000
1751195522.655500,0.000000,0.000000,0.000000
1751195522.705500,0.000000,0.000000,0.000000
1751195522.755500,0.000000,0.000000,0.000000
1751195522.805500,0.000000,0.000000,0.000000
1751195522.855500,0.000000,0.000000,0.000000
1751195522.905500,0.000000,0.000000,0.000000
1751195522.955500,0.000000,0.000000,0.000000
1751195523.005500,0.000000,0.000000,0.000000
1751195523.055500,0.000000,0.000000,0.000000
1751195523.105500,0.000000,0.000000,0.000000
1751195523.155500,0.000000,0.000000,0.000000
1751195523.205500,0.000000,0.000000,0.000000
1751195523.255500,0.000000,0.000000,0.000000
1751195523.305500,0.000000,0.000000,0.000000
1751195523.355550,0.000000,0.000000,0.000000
1751195523.405500,0.000000,0.000000,0.000000
1751195523.455550,0.000000,0.000000,0.000000
1751195523.505500,0.000000,0.000000,0.000000
1751195523.555550,0.000000,0.000000,0.000000
1751195523.605550,0.000000,0.000000,0.000000
1751195523.655500,0.000000,0.000000,0.000000
1751195523.705550,0.000000,0.000000,0.000000
1751195523.755500,0.000000,0.000000,0.000000
1751195523.805550,0.000000,0.000000,0.000000
1751195523.855550,0.000000,0.000000,0.000000
1751195523.905500,0.000000,0.000000,0.000000
1751195523.955550,0.000000,0.000000,0.000000
1751195524.005500,0.000000,0.000000,0.000000
1751195524.055550,0.000000,0.000000,0.000000
1751195524.105550,0.000000,0.000000,0.000000
1751195524.155550,0.000000,0.000000,0.000000
1751195524.205550,0.000000,0.000000,0.000000
1751195524.255500,0.000000,0.000000,0.000000
1751195524.305550,0.000000,0.000000,0.000000
1751195524.355550,0.000000,0.000000,0.000000
1751195524.405550,0.000000,0.000000,0.000000
1751195524.455550,0.000000,0.000000,0.000000
1751195524.505550,0.000000,0.000000,0.000000
1751195524.555550,0.000000,0.000000,0.000000
1751195524.605550,0.000000,0.000000,0.000000
1751195524.655550,0.000000,0.000000,0.000000
1751195524.705550,0.000000,0.000000,0.000000
1751195524.755550,0.000000,0.000000,0.000000
1751195524.805550,0.000000,0.000000,0.000000
1751195524.855550,0.000000,0.000000,0.000000
1751195524.905550,0.000000,0.000000,0.000000
1751195524.955550,0.000000,0.000000,0.000000
1751195525.005550,0.000000,0.000000,0.000000
1751195525.055550,0.000000,0.000000,0.000000
1751195525.105550,0.000000,0.000000,0.000000
1751195525.155550,0.000000,0.000000,0.000000
1751195525.205550,0.000000,0.000000,0.000000
1751195525.255550,0.000000,0.000000,0.000000
1751195525.305550,0.000000,0.000000,0.000000
1751195525.355550,0.000000,0.000000,0.000000
1751195525.405550,0.000000,0.000000,0.000000
1751195525.455550,0.000000,0.000000,0.000000
1751195525.505550,0.000000,0.000000,0.000000
1751195525.555550,0.000000,0.000000,0.000000
1751195525.605550,0.000000,0.000000,0.000000
1751195525.655600,0.000000,0.000000,0.000000
1751195525.705550,0.000000,0.000000,0.000000
1751195525.755600,0.000000,0.000000,0.000000
1751195525.805550,0.000000,0.000000,0.000000
1751195525.855550,0.000000,0.000000,0.000000
1751195525.905600,0.000000,0.000000,0.000000
1751195525.955550,0.000000,0.000000,0.000000
1751195526.005550,0.000000,0.000000,0.000000
1751195526.055550,0.000000,0.000000,0.000000
1751195526.105550,0.000000,0.000000,0.000000
1751195526.155600,0.000000,0.000000,0.000000
1751195526.205550,0.000000,0.000000,0.000000
1751195526.255600,0.000000,0.000000,0.000000
1751195526.305550,0.000000,0.000000,0.000000
1751195526.355600,0.000000,0.000000,0.000000
1751195526.405600,0.000000,0.000000,0.000000
1751195526.455550,0.000000,0.000000,0.000000
1751195526.505600,0.000000,0.000000,0.000000
1751195526.555550,0.000000,0.000000,0.000000
1751195526.605600,0.000000,0.000000,0.000000
1751195526.655600,0.000000,0.000000,0.000000
1751195526.705600,0.000000,0.000000,0.000000
1751195526.755600,0.000000,0.000000,0.000000
1751195526.805550,0.000000,0.000000,0.000000
1751195526.855600,0.000000,0.000000,0.000000
1751195526.905600,0.000000,0.000000,0.000000
1751195526.955600,0.000000,0.000000,0.000000
1751195527.005600,0.000000,0.000000,0.000000
1751195527.055600,0.000000,0.000000,0.000000
1751195527.105600,0.000000,0.000000,0.000000
1751195527.155600,0.000000,0.000000,0.000000
1751195527.205600,0.000000,0.000000,0.000000
1751195527.255600,0.000000,0.000000,0.000000
1751195527.305600,0.000000,0.000000,0.000000
1751195527.355600,0.000000,0.000000,0.000000
1751195527.405600,0.000000,0.000000,0.000000
1751195527.455600,0.000000,0.000000,0.000000
1751195527.505600,0.000000,0.000000,0.000000
1751195527.555600,0.000000,0.000000,0.000000
1751195527.605600,0.000000,0.000000,0.000000
1751195527.655600,0.000000,0.000000,0.000000
1751195527.705600,0.000000,0.000000,0.000000
1751195527.755600,0.000000,0.000000,0.000000
1751195527.805600,0.000000,0.000000,0.000000
1751195527.855600,0.000000,0.000000,0.000000
1751195527.905600,0.000000,0.000000,0.000000
1751195527.955600,0.000000,0.000000,0.000000
1751195528.005600,0.000000,0.000000,0.000000
1751195528.055600,0.000000,0.000000,0.000000
1751195528.105600,0.000000,0.000000,0.000000
1751195528.155600,0.000000,0.000000,0.000000
1751195528.205650,0.000000,0.000000,0.000000
1751195528.255600,0.000000,0.000000,0.000000
1751195528.305600,0.000000,0.000000,0.000000
1751195528.355600,0.000000,0.000000,0.000000
1751195528.405600,0.000000,0.000000,0.000000
1751195528.455650,0.000000,0.000000,0.000000
1751195528.505600,0.000000,0.000000,0.000000
1751195528.555650,0.000000,0.000000,0.000000
1751195528.605600,0.000000,0.000000,0.000000
1751195528.655600,0.000000,0.000000,0.000000
1751195528.705650,0.000000,0.000000,0.000000
1751195528.755600,0.000000,0.000000,0.000000
1751195528.805650,0.000000,0.000000,0.000000
1751195528.855600,0.000000,0.000000,0.000000
1751195528.905650,0.000000,0.000000,0.000000
1751195528.955650,0.000000,0.000000,0.000000
1751195529.005650,0.000000,0.000000,0.000000
1751195529.055650,0.000000,0.000000,0.000000
1751195529.105650,0.000000,0.000000,0.000000
1751195529.155650,0.000000,0.000000,0.000000
1751195529.205650,0.000000,0.000000,0.000000
1751195529.255650,0.000000,0.000000,0.000000
1751195529.305650,0.000000,0.000000,0.000000
1751195529.355650,0.000000,0.000000,0.000000
1751195529.405650,0.000000,0.000000,0.000000
1751195529.455650,0.000000,0.000000,0.000000
1751195529.505650,0.000000,0.000000,0.000000
1751195529.555650,0.000000,0.000000,0.000000
1751195529.605650,0.000000,0.000000,0.000000
1751195529.655650,0.000000,0.000000,0.000000
1751195529.705650,0.000000,0.000000,0.000000
1751195529.755650,0.000000,0.000000,0.000000
1751195529.805650,0.000000,0.000000,0.000000
1751195529.855650,0.000000,0.000000,0.000000
1751195529.905650,0.000000,0.000000,0.000000
1751195529.955650,0.000000,0.000000,0.000000
1751195530.005650,0.000000,0.000000,0.000000
1751195530.055650,0.000000,0.000000,0.000000
1751195530.105650,0.000000,0.000000,0.000000
1751195530.155650,0.000000,0.000000,0.000000
1751195530.205650,0.000000,0.000000,0.000000
1751195530.255650,0.000000,0.000000,0.000000
1751195530.305650,0.000000,0.000000,0.000000
1751195530.355650,0.000000,0.000000,0.000000
1751195530.405650,0.000000,0.000000,0.000000
1751195530.455650,0.000000,0.000000,0.000000
1751195530.505700,0.000000,0.000000,0.000000
1751195530.605650,0.000000,0.000000,0.000000
1751195530.655650,0.000000,0.000000,0.000000
1751195530.705650,0.000000,0.000000,0.000000
1751195530.755700,0.000000,0.000000,0.000000
1751195530.805650,0.000000,0.000000,0.000000
1751195530.855650,0.000000,0.000000,0.000000
1751195530.905650,0.000000,0.000000,0.000000
1751195530.955650,0.000000,0.000000,0.000000
1751195531.055650,0.000000,0.000000,0.000000
1751195531.105700,0.000000,0.000000,0.000000
1751195531.155650,0.000000,0.000000,0.000000
1751195531.205650,0.000000,0.000000,0.000000
1751195531.255700,0.000000,0.000000,0.000000
1751195531.305650,0.000000,0.000000,0.000000
1751195531.355700,0.000000,0.000000,0.000000
1751195531.405650,0.000000,0.000000,0.000000
1751195531.505700,0.000000,0.000000,0.000000
1751195531.555700,0.000000,0.000000,0.000000
1751195531.605700,0.000000,0.000000,0.000000
1751195531.655650,0.000000,0.000000,0.000000
1751195531.705700,0.000000,0.000000,0.000000
1751195531.755700,0.000000,0.000000,0.000000
1751195531.805700,0.000000,0.000000,0.000000
1751195531.855700,0.000000,0.000000,0.000000
1751195531.955700,0.000000,0.000000,0.000000
1751195532.005700,0.000000,0.000000,0.000000
1751195532.055700,0.000000,0.000000,0.000000
1751195532.105700,0.000000,0.000000,0.000000
1751195532.155700,0.000000,0.000000,0.000000
1751195532.205700,0.000000,0.000000,0.000000
1751195532.255700,0.000000,0.000000,0.000000
1751195532.305700,0.000000,0.000000,0.000000
1751195532.405700,0.000000,0.000000,0.000000
1751195532.455700,0.000000,0.000000,0.000000
1751195532.505700,0.000000,0.000000,0.000000
1751195532.555700,0.000000,0.000000,0.000000
1751195532.605700,0.000000,0.000000,0.000000
1751195532.655700,0.000000,0.000000,0.000000
1751195532.705700,0.000000,0.000000,0.000000
1751195532.755700,0.000000,0.000000,0.000000
1751195532.855700,0.000000,0.000000,0.000000
1751195532.905700,0.000000,0.000000,0.000000
1751195532.955700,0.000000,0.000000,0.000000
1751195533.005700,0.000000,0.000000,0.000000
1751195533.055700,0.000000,0.000000,0.000000
1751195533.105700,0.000000,0.000000,0.000000
1751195533.155750,0.000000,0.000000,0.000000
1751195533.205700,0.000000,0.000000,0.000000
1751195533.305750,0.000000,0.000000,0.000000
1751195533.355700,0.000000,0.000000,0.000000
1751195533.405750,0.000000,0.000000,0.000000
1751195533.455700,0.000000,0.000000,0.000000
1751195533.505700,0.000000,0.000000,0.000000
