t,sensor_imu_yawrate,sensor_imu_velocity,sensor_imu_accel_y,sensor_imu_accel_x
1751195522.612850,0.000000,0.000000,0.000000,0.000000
1751195522.655750,0.000000,0.000000,0.000000,-0.341600
1751195522.705750,0.000000,0.000000,0.000000,-0.320250
1751195522.755750,0.000000,0.000000,0.000000,-0.335500
1751195522.805750,0.000000,0.000000,0.000000,-0.301950
1751195522.855750,0.000000,0.000000,0.000000,-0.305000
1751195522.905750,0.000000,0.000000,0.000000,-0.323300
1751195522.955750,0.000000,0.000000,0.000000,-0.323300
1751195523.005750,0.000000,0.000000,0.000000,-0.305000
1751195523.055750,0.000000,0.000000,0.000000,-0.326350
1751195523.105750,0.000000,0.000000,0.000000,-0.311100
1751195523.155750,0.000000,0.000000,0.000000,-0.292800
1751195523.205750,0.000000,0.000000,0.000000,-0.338550
1751195523.255750,0.000000,0.000000,0.000000,-0.341600
1751195523.305750,0.000000,0.000000,0.000000,-0.323300
1751195523.355750,0.000000,0.000000,0.000000,-0.298900
1751195523.405750,0.000000,0.000000,0.000000,-0.347700
1751195523.455800,0.000000,0.000000,0.000000,-0.308050
1751195523.505750,0.000000,0.000000,0.000000,-0.311100
1751195523.555800,0.000000,0.000000,0.000000,-0.326350
1751195523.605750,0.000000,0.000000,0.000000,-0.305000
1751195523.655750,0.000000,0.000000,0.000000,-0.350750
1751195523.705800,0.000000,0.000000,0.000000,-0.308050
1751195523.755750,0.000000,0.000000,0.000000,-0.317200
1751195523.805800,0.000000,0.000000,0.000000,-0.332450
1751195523.855750,0.000000,0.000000,0.000000,-0.329400
1751195523.905750,0.000000,0.000000,0.000000,-0.347700
1751195523.955800,0.000000,0.000000,0.000000,-0.314150
1751195524.005750,0.000000,0.000000,0.000000,-0.320250
1751195524.055800,0.000000,0.000000,0.000000,-0.332450
1751195524.105750,0.000000,0.000000,0.000000,-0.320250
1751195524.155800,0.000000,0.000000,0.000000,-0.295850
1751195524.205800,0.000000,0.000000,0.000000,-0.326350
1751195524.255750,0.000000,0.000000,0.000000,-0.338550
1751195524.305800,0.000000,0.000000,0.000000,-0.317200
1751195524.355750,0.000000,0.000000,0.000000,-0.314150
1751195524.405800,0.000000,0.000000,0.000000,-0.298900
1751195524.455800,0.000000,0.000000,0.000000,-0.366000
