t,amk_torque_limit_neg_left,amk_torque_limit_pos_left,amk_torque_target_left,amk_control_left
1751195521.461200,0.000000,0.000000,0.000000,2049.000000
1751195521.471050,0.000000,0.000000,0.000000,2049.000000
1751195521.481100,0.000000,0.000000,0.000000,2049.000000
1751195521.491050,0.000000,0.000000,0.000000,2049.000000
1751195521.501050,0.000000,0.000000,0.000000,2049.000000
1751195521.511000,0.000000,0.000000,0.000000,2049.000000
1751195521.521050,0.000000,0.000000,0.000000,2049.000000
1751195521.531050,0.000000,0.000000,0.000000,2049.000000
1751195521.541000,0.000000,0.000000,0.000000,2049.000000
1751195521.551050,0.000000,0.000000,0.000000,2049.000000
1751195521.561050,0.000000,0.000000,0.000000,2049.000000
1751195521.571100,0.000000,0.000000,0.000000,2049.000000
1751195521.581050,0.000000,0.000000,0.000000,2049.000000
1751195521.591050,0.000000,0.000000,0.000000,2049.000000
1751195521.601000,0.000000,0.000000,0.000000,2049.000000
1751195521.611100,0.000000,0.000000,0.000000,2049.000000
1751195521.621100,0.000000,0.000000,0.000000,2049.000000
1751195521.631000,0.000000,0.000000,0.000000,2049.000000
1751195521.641050,0.000000,0.000000,0.000000,2049.000000
1751195521.651050,0.000000,0.000000,0.000000,2049.000000
1751195521.661300,0.000000,0.000000,0.000000,2049.000000
1751195521.671050,0.000000,0.000000,0.000000,2049.000000
1751195521.681050,0.000000,0.000000,0.000000,2049.000000
1751195521.691300,0.000000,0.000000,0.000000,2049.000000
1751195521.701050,0.000000,0.000000,0.000000,2049.000000
1751195521.711050,0.000000,0.000000,0.000000,2049.000000
1751195521.721050,0.000000,0.000000,0.000000,2049.000000
1751195521.731100,0.000000,0.000000,0.000000,2049.000000
1751195521.741050,0.000000,0.000000,0.000000,2049.000000
1751195521.751050,0.000000,0.000000,0.000000,2049.000000
1751195521.761050,0.000000,0.000000,0.000000,2049.000000
1751195521.771100,0.000000,0.000000,0.000000,2049.000000
1751195521.781050,0.000000,0.000000,0.000000,2049.000000
1751195521.791050,0.000000,0.000000,0.000000,2049.000000
1751195521.801050,0.000000,0.000000,0.000000,2049.000000
1751195521.811050,0.000000,0.000000,0.000000,2049.000000
1751195521.821100,0.000000,0.000000,0.000000,2049.000000
1751195521.831000,0.000000,0.000000,0.000000,2049.000000
1751195521.841050,0.000000,0.000000,0.000000,2049.000000
1751195521.851050,0.000000,0.000000,0.000000,2049.000000
1751195521.861050,0.000000,0.000000,0.000000,2049.000000
1751195521.871300,0.000000,0.000000,0.000000,2049.000000
1751195521.881050,0.000000,0.000000,0.000000,2049.000000
1751195521.891100,0.000000,0.000000,0.000000,2049.000000
1751195521.901300,0.000000,0.000000,0.000000,2049.000000
