t,amk_torque_target_mirror_left,amk_actual_torque_left,amk_actual_velocity_left,amk_status_left
1751195524.847800,0.000000,1.100000,54.000000,0.000000
1751195524.857800,0.000000,0.500000,0.000000,256.000000
1751195524.867750,0.000000,0.400000,0.000000,256.000000
1751195524.877800,0.000000,0.000000,0.000000,33024.000000
1751195524.887800,0.000000,0.000000,0.000000,33024.000000
1751195524.897750,0.000000,0.000000,0.000000,33024.000000
1751195524.907800,0.000000,0.000000,0.000000,33024.000000
1751195524.917800,0.000000,0.000000,0.000000,33024.000000
1751195524.927750,0.000000,0.000000,0.000000,33024.000000
1751195524.937750,0.000000,0.000000,0.000000,33024.000000
1751195524.947800,0.000000,-0.100000,0.000000,33024.000000
1751195524.957750,0.000000,0.000000,0.000000,33024.000000
1751195524.967750,0.000000,-0.100000,0.000000,33024.000000
1751195524.977800,0.000000,0.000000,0.000000,33024.000000
1751195524.987750,0.000000,0.000000,0.000000,33024.000000
1751195524.997750,0.000000,0.000000,0.000000,33024.000000
1751195525.007800,0.000000,-0.100000,0.000000,33024.000000
1751195525.017750,0.000000,-0.100000,0.000000,33024.000000
1751195525.027750,0.000000,0.000000,0.000000,33024.000000
1751195525.037800,0.000000,0.000000,0.000000,33024.000000
1751195525.047750,0.000000,0.000000,0.000000,33024.000000
1751195525.057750,0.000000,0.000000,0.000000,33024.000000
1751195525.067800,0.000000,-0.100000,0.000000,33024.000000
1751195525.077750,0.000000,0.000000,0.000000,33024.000000
1751195525.087750,0.000000,0.000000,0.000000,33024.000000
1751195525.097800,0.000000,0.000000,0.000000,33024.000000
1751195525.107750,0.000000,0.000000,0.000000,33024.000000
1751195525.117750,0.000000,0.000000,0.000000,33024.000000
1751195525.127800,0.000000,0.000000,0.000000,33024.000000
1751195525.137750,0.000000,0.000000,0.000000,33024.000000
1751195525.147750,0.000000,0.000000,0.000000,33024.000000
1751195525.157800,0.000000,0.000000,0.000000,33024.000000
1751195525.167750,0.000000,0.000000,0.000000,33024.000000
1751195525.177750,0.000000,0.000000,0.000000,33024.000000
1751195525.187750,0.000000,0.000000,0.000000,33024.000000
1751195525.197800,0.000000,0.000000,0.000000,33024.000000
1751195525.207750,0.000000,0.000000,0.000000,33024.000000
1751195525.217750,0.000000,0.000000,0.000000,33024.000000
1751195525.227800,0.000000,0.000000,0.000000,33024.000000
1751195525.237750,0.000000,0.000000,0.000000,33024.000000
1751195525.247750,0.000000,0.000000,0.000000,33024.000000
1751195525.257800,0.000000,0.000000,0.000000,33024.000000
1751195525.267750,0.000000,0.000000,0.000000,33024.000000
1751195525.277750,0.000000,0.000000,0.000000,33024.000000
1751195525.287800,0.000000,0.000000,0.000000,33024.000000
1751195525.297750,0.000000,0.000000,0.000000,33024.000000
1751195525.307750,0.000000,0.000000,0.000000,33024.000000
1751195525.317800,0.000000,0.000000,0.000000,33024.000000
1751195525.327750,0.000000,-0.100000,0.000000,33024.000000
1751195525.337750,0.000000,0.000000,0.000000,33024.000000
1751195525.347800,0.000000,0.000000,0.000000,33024.000000
1751195525.357750,0.000000,0.000000,0.000000,33024.000000
1751195525.367750,0.000000,-0.100000,0.000000,33024.000000
1751195525.377800,0.000000,0.000000,0.000000,33024.000000
1751195525.387750,0.000000,0.000000,0.000000,33024.000000
1751195525.397750,0.000000,0.000000,0.000000,33024.000000
1751195525.407800,0.000000,0.000000,0.000000,33024.000000
1751195525.417750,0.000000,0.000000,0.000000,33024.000000
1751195525.427750,0.000000,0.000000,0.000000,33024.000000
1751195525.437750,0.000000,0.000000,0.000000,33024.000000
1751195525.447750,0.000000,0.000000,0.000000,33024.000000
1751195525.457750,0.000000,0.000000,0.000000,33024.000000
1751195525.467750,0.000000,0.000000,0.000000,33024.000000
1751195525.477750,0.000000,-0.100000,0.000000,33024.000000
1751195525.487750,0.000000,0.000000,0.000000,33024.000000
1751195525.497750,0.000000,0.000000,0.000000,33024.000000
1751195525.507750,0.000000,0.000000,0.000000,33024.000000
1751195525.517750,0.000000,0.000000,0.000000,33024.000000
1751195525.527750,0.000000,0.000000,0.000000,33024.000000
1751195525.537750,0.000000,0.000000,0.000000,33024.000000
1751195525.547750,0.000000,0.000000,0.000000,33024.000000
1751195525.557750,0.000000,-0.100000,0.000000,33024.000000
1751195525.567750,0.000000,0.000000,0.000000,33024.000000
1751195525.577750,0.000000,0.000000,0.000000,33024.000000
1751195525.587750,0.000000,0.000000,0.000000,33024.000000
1751195525.597800,0.000000,0.000000,0.000000,33024.000000
1751195525.607750,0.000000,0.000000,0.000000,33024.000000
1751195525.617750,0.000000,0.000000,0.000000,33024.000000
1751195525.627800,0.000000,0.000000,0.000000,33024.000000
1751195525.637750,0.000000,0.000000,0.000000,33024.000000
1751195525.647750,0.000000,0.000000,0.000000,33024.000000
1751195525.657800,0.000000,0.000000,0.000000,33024.000000
1751195525.667750,0.000000,0.000000,0.000000,33024.000000
1751195525.677750,0.000000,0.000000,0.000000,33024.000000
1751195525.687750,0.000000,0.000000,0.000000,33024.000000
1751195525.697750,0.000000,0.000000,0.000000,33024.000000
1751195525.707750,0.000000,0.000000,0.000000,33024.000000
1751195525.717750,0.000000,0.000000,0.000000,33024.000000
1751195525.727750,0.000000,0.000000,0.000000,33024.000000
1751195525.737750,0.000000,0.000000,0.000000,33024.000000
1751195525.747750,0.000000,0.000000,0.000000,33024.000000
