t,amk_torque_limit_neg_right,amk_torque_limit_pos_right,amk_torque_target_right,amk_control_right
1751195521.461450,0.000000,0.000000,0.000000,2049.000000
1751195521.471300,0.000000,0.000000,0.000000,2049.000000
1751195521.481300,0.000000,0.000000,0.000000,2049.000000
1751195521.491300,0.000000,0.000000,0.000000,2049.000000
1751195521.501300,0.000000,0.000000,0.000000,2049.000000
1751195521.511300,0.000000,0.000000,0.000000,2049.000000
1751195521.521300,0.000000,0.000000,0.000000,2049.000000
1751195521.531300,0.000000,0.000000,0.000000,2049.000000
1751195521.541250,0.000000,0.000000,0.000000,2049.000000
1751195521.551300,0.000000,0.000000,0.000000,2049.000000
1751195521.561300,0.000000,0.000000,0.000000,2049.000000
1751195521.571300,0.000000,0.000000,0.000000,2049.000000
1751195521.581300,0.000000,0.000000,0.000000,2049.000000
1751195521.591300,0.000000,0.000000,0.000000,2049.000000
1751195521.601300,0.000000,0.000000,0.000000,2049.000000
1751195521.611350,0.000000,0.000000,0.000000,2049.000000
1751195521.621350,0.000000,0.000000,0.000000,2049.000000
1751195521.631250,0.000000,0.000000,0.000000,2049.000000
1751195521.641300,0.000000,0.000000,0.000000,2049.000000
1751195521.651300,0.000000,0.000000,0.000000,2049.000000
1751195521.661550,0.000000,0.000000,0.000000,2049.000000
1751195521.671300,0.000000,0.000000,0.000000,2049.000000
1751195521.681250,0.000000,0.000000,0.000000,2049.000000
1751195521.691550,0.000000,0.000000,0.000000,2049.000000
1751195521.701300,0.000000,0.000000,0.000000,2049.000000
1751195521.711250,0.000000,0.000000,0.000000,2049.000000
1751195521.721300,0.000000,0.000000,0.000000,2049.000000
1751195521.731300,0.000000,0.000000,0.000000,2049.000000
1751195521.741300,0.000000,0.000000,0.000000,2049.000000
1751195521.751300,0.000000,0.000000,0.000000,2049.000000
1751195521.761300,0.000000,0.000000,0.000000,2049.000000
1751195521.771350,0.000000,0.000000,0.000000,2049.000000
1751195521.781300,0.000000,0.000000,0.000000,2049.000000
1751195521.791300,0.000000,0.000000,0.000000,2049.000000
1751195521.801350,0.000000,0.000000,0.000000,2049.000000
1751195521.811300,0.000000,0.000000,0.000000,2049.000000
1751195521.821350,0.000000,0.000000,0.000000,2049.000000
1751195521.831250,0.000000,0.000000,0.000000,2049.000000
1751195521.841300,0.000000,0.000000,0.000000,2049.000000
1751195521.851300,0.000000,0.000000,0.000000,2049.000000
1751195521.861300,0.000000,0.000000,0.000000,2049.000000
1751195521.871550,0.000000,0.000000,0.000000,2049.000000
1751195521.881300,0.000000,0.000000,0.000000,2049.000000
1751195521.891350,0.000000,0.000000,0.000000,2049.000000
1751195521.901550,0.000000,0.000000,0.000000,2049.000000
1751195521.911300,0.000000,0.000000,0.000000,2049.000000
1751195521.921300,0.000000,0.000000,0.000000,2049.000000
1751195521.931350,0.000000,0.000000,0.000000,2049.000000
1751195521.941300,0.000000,0.000000,0.000000,2049.000000
1751195521.951300,0.000000,0.000000,0.000000,2049.000000
1751195521.961250,0.000000,0.000000,0.000000,2049.000000
1751195521.971300,0.000000,0.000000,0.000000,2049.000000
1751195521.981300,0.000000,0.000000,0.000000,2049.000000
1751195521.991250,0.000000,0.000000,0.000000,2049.000000
1751195522.001300,0.000000,0.000000,0.000000,2049.000000
1751195522.011300,0.000000,0.000000,0.000000,2049.000000
1751195522.021350,0.000000,0.000000,0.000000,2049.000000
1751195522.031300,0.000000,0.000000,0.000000,2049.000000
1751195522.041300,0.000000,0.000000,0.000000,2049.000000
1751195522.051250,0.000000,0.000000,0.000000,2049.000000
1751195522.061250,0.000000,0.000000,0.000000,2049.000000
1751195522.071300,0.000000,0.000000,0.000000,2049.000000
1751195522.081250,0.000000,0.000000,0.000000,2049.000000
1751195522.091300,0.000000,0.000000,0.000000,2049.000000
1751195522.101300,0.000000,0.000000,0.000000,2049.000000
1751195522.111550,0.000000,0.000000,0.000000,2049.000000
1751195522.121300,0.000000,0.000000,0.000000,2049.000000
1751195522.131300,0.000000,0.000000,0.000000,2049.000000
1751195522.141550,0.000000,0.000000,0.000000,2049.000000
1751195522.151300,0.000000,0.000000,0.000000,2049.000000
1751195522.161300,0.000000,0.000000,0.000000,2049.000000
1751195522.171250,0.000000,0.000000,0.000000,2049.000000
1751195522.181300,0.000000,0.000000,0.000000,2049.000000
1751195522.191300,0.000000,0.000000,0.000000,2049.000000
1751195522.201250,0.000000,0.000000,0.000000,2049.000000
1751195522.211300,0.000000,0.000000,0.000000,2049.000000
1751195522.221350,0.000000,0.000000,0.000000,2049.000000
1751195522.231250,0.000000,0.000000,0.000000,2049.000000
1751195522.241300,0.000000,0.000000,0.000000,2049.000000
1751195522.251300,0.000000,0.000000,0.000000,2049.000000
1751195522.261250,0.000000,0.000000,0.000000,2049.000000
1751195522.271300,0.000000,0.000000,0.000000,2049.000000
1751195522.281300,0.000000,0.000000,0.000000,2049.000000
1751195522.291250,0.000000,0.000000,0.000000,2049.000000
1751195522.301300,0.000000,0.000000,0.000000,2049.000000
1751195522.311300,0.000000,0.000000,0.000000,2049.000000
1751195522.321500,0.000000,0.000000,0.000000,2049.000000
1751195522.331300,0.000000,0.000000,0.000000,2049.000000
1751195522.341300,0.000000,0.000000,0.000000,2049.000000
1751195522.351550,0.000000,0.000000,0.000000,2049.000000
1751195522.361250,0.000000,0.000000,0.000000,2049.000000
1751195522.371300,0.000000,0.000000,0.000000,2049.000000
1751195522.381350,0.000000,0.000000,0.000000,2049.000000
1751195522.391250,0.000000,0.000000,0.000000,2049.000000
1751195522.401300,0.000000,0.000000,0.000000,2049.000000
1751195522.411300,0.000000,0.000000,0.000000,2049.000000
1751195522.421350,0.000000,0.000000,0.000000,2049.000000
1751195522.431300,0.000000,0.000000,0.000000,2049.000000
1751195522.441300,0.000000,0.000000,0.000000,2049.000000
1751195522.451250,0.000000,0.000000,0.000000,2049.000000
1751195522.461250,0.000000,0.000000,0.000000,2049.000000
1751195522.471300,0.000000,0.000000,0.000000,2049.000000
1751195522.481250,0.000000,0.000000,0.000000,2049.000000
1751195522.491300,0.000000,0.000000,0.000000,2049.000000
1751195522.501300,0.000000,0.000000,0.000000,2049.000000
1751195522.511250,0.000000,0.000000,0.000000,2049.000000
1751195522.521300,0.000000,0.000000,0.000000,2049.000000
1751195522.531300,0.000000,0.000000,0.000000,2049.000000
1751195522.541250,0.000000,0.000000,0.000000,2049.000000
1751195522.551300,0.000000,0.000000,0.000000,2049.000000
1751195522.561500,0.000000,0.000000,0.000000,2049.000000
1751195522.571250,0.000000,0.000000,0.000000,2049.000000
1751195522.581300,0.000000,0.000000,0.000000,2049.000000
1751195522.591500,0.000000,0.000000,0.000000,2049.000000
1751195522.601250,0.000000,0.000000,0.000000,2049.000000
1751195522.611300,0.000000,0.000000,0.000000,2049.000000
1751195522.621300,0.000000,0.000000,0.000000,2049.000000
1751195522.631300,0.000000,0.000000,0.000000,2049.000000
1751195522.641300,0.000000,0.000000,0.000000,2049.000000
1751195522.651300,0.000000,0.000000,0.000000,2049.000000
1751195522.661250,0.000000,0.000000,0.000000,2049.000000
1751195522.671300,0.000000,0.000000,0.000000,2049.000000
1751195522.681250,0.000000,0.000000,0.000000,2049.000000
1751195522.691250,0.000000,0.000000,0.000000,2049.000000
1751195522.701300,0.000000,0.000000,0.000000,2049.000000
1751195522.711300,0.000000,0.000000,0.000000,2049.000000
1751195522.721300,0.000000,0.000000,0.000000,2049.000000
1751195522.731250,0.000000,0.000000,0.000000,2049.000000
1751195522.741250,0.000000,0.000000,0.000000,2049.000000
1751195522.751250,0.000000,0.000000,0.000000,2049.000000
1751195522.761250,0.000000,0.000000,0.000000,2049.000000
1751195522.771500,0.000000,0.000000,0.000000,2049.000000
1751195522.781300,0.000000,0.000000,0.000000,2049.000000
1751195522.791300,0.000000,0.000000,0.000000,2049.000000
1751195522.801500,0.000000,0.000000,0.000000,2049.000000
1751195522.811300,0.000000,0.000000,0.000000,2049.000000
1751195522.821250,0.000000,0.000000,0.000000,2049.000000
1751195522.831300,0.000000,0.000000,0.000000,2049.000000
1751195522.841300,0.000000,0.000000,0.000000,2049.000000
1751195522.851250,0.000000,0.000000,0.000000,2049.000000
1751195522.861250,0.000000,0.000000,0.000000,2049.000000
1751195522.871300,0.000000,0.000000,0.000000,2049.000000
1751195522.881300,0.000000,0.000000,0.000000,2049.000000
1751195522.891250,0.000000,0.000000,0.000000,2049.000000
1751195522.901250,0.000000,0.000000,0.000000,2049.000000
1751195522.911250,0.000000,0.000000,0.000000,2049.000000
1751195522.921300,0.000000,0.000000,0.000000,2049.000000
1751195522.931250,0.000000,0.000000,0.000000,2049.000000
1751195522.941250,0.000000,0.000000,0.000000,2049.000000
1751195522.951250,0.000000,0.000000,0.000000,2049.000000
1751195522.961250,0.000000,0.000000,0.000000,2049.000000
1751195522.971300,0.000000,0.000000,0.000000,2049.000000
1751195522.981250,0.000000,0.000000,0.000000,2049.000000
1751195522.991250,0.000000,0.000000,0.000000,2049.000000
1751195523.001250,0.000000,0.000000,0.000000,2049.000000
1751195523.011500,0.000000,0.000000,0.000000,2049.000000
1751195523.021250,0.000000,0.000000,0.000000,2049.000000
1751195523.031300,0.000000,0.000000,0.000000,2049.000000
1751195523.041450,0.000000,0.000000,0.000000,2049.000000
1751195523.051250,0.000000,0.000000,0.000000,2049.000000
1751195523.061250,0.000000,0.000000,0.000000,2049.000000
1751195523.071300,0.000000,0.000000,0.000000,2049.000000
1751195523.081250,0.000000,0.000000,0.000000,2049.000000
1751195523.091250,0.000000,0.000000,0.000000,2049.000000
1751195523.101250,0.000000,0.000000,0.000000,2049.000000
