t,amk_torque_target_mirror_right,amk_actual_torque_right,amk_actual_velocity_right,amk_status_right
1751195524.846350,0.000000,0.000000,28.000000,0.000000
1751195524.856400,0.000000,0.000000,0.000000,256.000000
1751195524.866350,0.000000,0.000000,0.000000,256.000000
1751195524.876350,0.000000,0.000000,0.000000,33024.000000
1751195524.886400,0.000000,0.000000,0.000000,33024.000000
1751195524.896400,0.000000,0.000000,0.000000,33024.000000
1751195524.906350,0.000000,0.000000,0.000000,33024.000000
1751195524.916400,0.000000,0.000000,0.000000,33024.000000
1751195524.926400,0.000000,0.000000,0.000000,33024.000000
1751195524.936350,0.000000,0.000000,0.000000,33024.000000
1751195524.946400,0.000000,0.000000,0.000000,33024.000000
1751195524.956400,0.000000,0.000000,0.000000,33024.000000
1751195524.966350,0.000000,0.000000,0.000000,33024.000000
1751195524.976400,0.000000,0.000000,0.000000,33024.000000
1751195524.986400,0.000000,0.000000,0.000000,33024.000000
1751195524.996350,0.000000,0.000000,0.000000,33024.000000
1751195525.006400,0.000000,0.000000,0.000000,33024.000000
1751195525.016400,0.000000,0.000000,0.000000,33024.000000
1751195525.026350,0.000000,0.000000,0.000000,33024.000000
1751195525.036400,0.000000,0.000000,0.000000,33024.000000
1751195525.046400,0.000000,0.000000,0.000000,33024.000000
1751195525.056350,0.000000,0.000000,0.000000,33024.000000
1751195525.066400,0.000000,0.000000,0.000000,33024.000000
1751195525.076400,0.000000,0.000000,0.000000,33024.000000
1751195525.086350,0.000000,0.000000,0.000000,33024.000000
1751195525.096350,0.000000,-0.100000,0.000000,33024.000000
1751195525.106400,0.000000,0.000000,0.000000,33024.000000
1751195525.116350,0.000000,-0.100000,0.000000,33024.000000
1751195525.126350,0.000000,0.000000,0.000000,33024.000000
1751195525.136400,0.000000,0.000000,0.000000,33024.000000
1751195525.146350,0.000000,0.000000,0.000000,33024.000000
1751195525.156500,0.000000,0.000000,0.000000,33024.000000
1751195525.166400,0.000000,0.000000,0.000000,33024.000000
1751195525.176350,0.000000,0.000000,0.000000,33024.000000
1751195525.186350,0.000000,0.000000,0.000000,33024.000000
1751195525.196400,0.000000,0.000000,0.000000,33024.000000
1751195525.206400,0.000000,0.000000,0.000000,33024.000000
1751195525.216350,0.000000,0.000000,0.000000,33024.000000
1751195525.226400,0.000000,0.000000,0.000000,33024.000000
1751195525.236350,0.000000,0.000000,0.000000,33024.000000
1751195525.246350,0.000000,0.000000,0.000000,33024.000000
1751195525.256500,0.000000,0.000000,0.000000,33024.000000
