t,ModelConfig_MissionSelect,ModelConfig_TVMaster,ModelConfig_TractionControl,ModelConfig_ThrottleShaping,ModelConfig_MotorMapping,ModelConfig_MidCornerSetting,ModelConfig_CornerExitSetting,ModelConfig_CornerEntrySetting
1751195521.202900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.252900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.302900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.352900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.402900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.452900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.502900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.552900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.602900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.652900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.702900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.752900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.802900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.852900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.902900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195521.952900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.002900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.052900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.102900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.153150,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.202900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.252900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.302900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.352900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.402900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.452900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.502900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.552900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.603100,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.652900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.702900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.752900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.802900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.852850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.902900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195522.952900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.002900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.052900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.102850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.152900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.202900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.252900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.302900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.352850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.402900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.452900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.503050,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.552900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.602850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.652900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.702900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.752850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.802900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.852850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.902900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195523.953100,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.002850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.052900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.102850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.152850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.202900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.252850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.302900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.352850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.403100,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.452900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.502850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.552900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.602850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.652850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.702900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.752850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.802850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.853050,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.902850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195524.952900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.002850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.052850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.102850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.152850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.202850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.252850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.303050,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.352850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.402850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.452900,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.502850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.552850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.602850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.652850,0.000000,0.000000,0.000000,1.000000,10.000000,0.000000,0.000000,0.000000
1751195525.702900,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1751195525.752850,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1751195525.802850,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1751195525.852850,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
1751195525.902850,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
