t,PDU_CH8_current,PDU_CH7_current,PDU_CH6_current,PDU_CH5_current,PDU_CH4_current,PDU_CH3_current,PDU_CH2_current,PDU_CH1_current
1751195521.251350,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.301350,2.040000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.351300,2.040000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.401300,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.451350,2.040000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.501550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.551550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.601550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.651550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.701550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.751550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.801550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.851550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195521.951550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.001550,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.051500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.101550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.151500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.201500,2.000000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.251550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.301550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.401550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.451500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.501550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.551550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.601500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.651500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.701550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.751550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.851500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.901500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195522.951500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.001550,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.051500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.101550,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.151500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.201500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.301500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.351500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.401500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.451500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.501450,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.551500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.601450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.651500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.751500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.801450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.851500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.901500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195523.951500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.001450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.051500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.101450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.201500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.251500,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.301500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.351500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.401500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.451650,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.501450,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.551500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.651500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.701450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.751500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.801450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.851450,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.901450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195524.951450,1.960000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.001450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.101600,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.151450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.201500,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.251450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.301450,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
1751195525.351650,1.920000,0.000000,0.000000,0.000000,0.120000,0.120000,0.120000,0.000000
