t,PDU_5V_current,PDU_12V_current,PDU_CH9_current,PDU_CH12_current,PDU_CH11_current,PDU_CH10_current
1751195521.201500,0.000000,0.000000,0.000000,0.000000,0.840000,0.080000
1751195521.251550,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.301550,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195521.351550,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.401500,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.451550,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195521.501750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.551800,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.601750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.651750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.701750,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195521.751750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.801800,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.851750,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195521.901750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195521.951750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.001750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.051750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.101800,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195522.151750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.201700,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.251750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.301750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.351750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.401750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.451700,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.501750,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195522.551750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.601700,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.651750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.701750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.751750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.801750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.851750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195522.901750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195522.951700,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.001750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.051750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.101750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.151750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.201750,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.251700,0.000000,0.000000,0.000000,0.000000,0.920000,0.080000
1751195523.301750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.351700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.401750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.451750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.501700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.551750,0.000000,0.000000,0.000000,0.000000,0.920000,0.120000
1751195523.601700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.651750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.701700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.751700,0.000000,0.000000,0.000000,0.000000,0.960000,0.120000
1751195523.801700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.851750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.901750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195523.951700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.001700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.051750,0.000000,0.000000,0.000000,0.000000,0.960000,0.120000
1751195524.101700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.151700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.201700,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.251750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
1751195524.301750,0.000000,0.000000,0.000000,0.000000,0.960000,0.080000
