t,PDU_error_channels,PDU_12V_voltage,PDU_24V_voltage,PDU_5V_active,PDU_12V_active,pdu_active_channels
1751195521.251100,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195521.301100,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195521.351050,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195521.401050,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195521.451100,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195524.451400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.101400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.351400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.401400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.451400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.551400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.601400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.701400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.801400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.851400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195525.901350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.001350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.051400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.101400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.151400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.201400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.251350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.301400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.351400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.451400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.501350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.551350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.601400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.651400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.701350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.751350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.801350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.901350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195526.951400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.001350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.051350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.101400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.151400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.201400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.251350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.351350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.401350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.451300,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.501350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.551350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.601350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.651350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.701350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.801350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.851350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.901350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195527.951400,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195528.001350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195528.051350,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195528.101300,0.000000,11.900000,NaN,-1.000000,-1.000000,1934.000000
1751195528.151350,0.000000,11.900000,NaN,-1.000000,-1.000000,1966.000000
