t,sensor_apps_valid,sensor_brake_pressure_f,sensor_wheel_speed_fr,sensor_wheel_speed_fl,sensor_steering_angle,sensor_brake_pressure_r,sensor_apps
1751195521.206100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195521.256200,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.306100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.356400,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195521.406350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.456550,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195521.506400,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.556600,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.606200,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.656300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.706350,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.756550,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.806450,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,0.800000
1751195521.856100,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.906050,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195521.956250,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.006200,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.056550,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.106500,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.156500,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.206050,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.256600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.306450,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.356400,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.406550,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.456050,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.506600,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.556300,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.600000
1751195522.606000,1.000000,2.080000,0.000000,0.000000,-20.000000,2.240000,1.200000
1751195522.656700,1.000000,1.920000,0.000000,0.000000,-20.000000,2.240000,1.200000
