t,sensor_spring_travel_fr,sensor_spring_travel_fl,sensor_brake_temp_fr,sensor_brake_temp_fl
1751195521206,61.5132,63.9792,0.0,0.0
1751195521256,61.5132,63.9792,0.0,0.0
1751195521306,61.488,64.0044,0.0,0.0
1751195521356,61.5132,63.9792,0.0,0.0
1751195521406,61.5384,64.0044,0.0,0.0
1751195521456,61.4646,63.9792,0.0,0.0
1751195521506,61.4646,63.9072,0.0,0.0
1751195521557,61.488,64.0044,0.0,0.0
1751195521606,61.5132,63.9558,0.0,0.0
1751195521656,61.5132,63.9792,0.0,0.0
1751195521706,61.5618,64.0044,0.0,0.0
1751195521756,61.5132,63.9306,0.0,0.0
1751195521806,61.4646,63.9306,0.0,0.0
1751195521856,61.488,63.9792,0.0,0.0
1751195521906,61.5132,63.9792,0.0,0.0
1751195521956,61.5384,63.9792,0.0,0.0
1751195522006,61.5132,64.0278,0.0,0.0
1751195522056,61.4646,63.9792,0.0,0.0
1751195522106,61.488,64.0044,0.0,0.0
1751195522156,61.488,63.9558,0.0,0.0
1751195522206,61.5132,64.0044,0.0,0.0
1751195522257,61.4394,63.9558,0.0,0.0
1751195522306,61.4394,63.9306,0.0,0.0
1751195522356,61.5132,63.9072,0.0,0.0
1751195522406,61.4646,63.9792,0.0,0.0
1751195522456,61.4394,63.9558,0.0,0.0
1751195522506,61.4646,63.9306,0.0,0.0
1751195522556,61.5132,63.9558,0.0,0.0
1751195522606,61.488,63.9558,0.0,0.0
1751195522657,61.5618,63.9558,0.0,0.0
1751195522706,61.5132,63.9792,0.0,0.0
1751195522756,61.5132,63.9558,0.0,0.0
1751195522806,61.4646,64.0044,0.0,0.0
1751195522856,61.488,63.9792,0.0,0.0
1751195522906,61.488,63.9792,0.0,0.0
1751195522956,61.5132,64.0044,0.0,0.0
1751195523006,61.5132,64.0044,0.0,0.0
1751195523056,61.5132,63.9558,0.0,0.0
1751195523106,61.5384,64.0044,0.0,0.0
1751195523156,61.5384,64.0044,0.0,0.0
1751195523206,61.4646,63.9792,0.0,0.0
1751195523256,61.5132,64.0044,0.0,0.0
1751195523306,61.488,63.9306,0.0,0.0
1751195523356,61.488,63.9558,0.0,0.0
1751195523406,61.488,64.0044,0.0,0.0
1751195523456,61.4646,64.0044,0.0,0.0
1751195523506,61.5384,64.0044,0.0,0.0
1751195523556,61.5384,64.0044,0.0,0.0
1751195523606,61.4646,63.9558,0.0,0.0
1751195523656,61.5132,64.0278,0.0,0.0
1751195523706,61.4646,63.9792,0.0,0.0
1751195523756,61.5132,64.0044,0.0,0.0
1751195523806,61.5384,64.0044,0.0,0.0
1751195523856,61.5132,64.0278,0.0,0.0
1751195523906,61.5132,63.9558,0.0,0.0
1751195523956,61.4646,64.0044,0.0,0.0
1751195524006,61.488,64.0278,0.0,0.0
1751195524057,61.4394,63.9792,0.0,0.0
1751195524106,61.488,64.0044,0.0,0.0
1751195524156,61.5384,63.9558,0.0,0.0
1751195524206,61.488,63.9792,0.0,0.0
1751195524256,61.488,63.9558,0.0,0.0
1751195524306,61.5132,63.9792,0.0,0.0
1751195524356,61.5384,63.9558,0.0,0.0
1751195524406,61.488,63.9792,0.0,0.0
1751195524456,61.488,63.9558,0.0,0.0
1751195524506,61.4646,63.9558,0.0,0.0
1751195524557,61.5132,63.9558,0.0,0.0
1751195524606,61.5132,64.0044,0.0,0.0
1751195524656,61.488,63.9792,0.0,0.0
1751195524706,61.5618,63.9306,0.0,0.0
1751195524756,61.5132,63.9558,0.0,0.0
1751195524806,61.4646,63.9792,0.0,0.0
1751195524857,61.4646,63.9306,0.0,0.0
1751195525007,61.488,63.9558,0.0,0.0
1751195525107,61.5384,63.9792,0.0,0.0
1751195525357,61.5132,64.0044,0.0,0.0
1751195525657,61.488,63.9558,0.0,0.0
1751195525807,61.5384,64.0044,0.0,0.0
1751195525857,61.4646,63.9792,0.0,0.0
1751195525907,61.488,64.0044,0.0,0.0
1751195526057,61.5384,64.0044,0.0,0.0
1751195526107,61.488,63.9558,0.0,0.0
1751195526257,61.4646,63.9306,0.0,0.0
1751195526407,61.4394,64.0044,0.0,0.0
1751195526457,61.5132,63.9558,0.0,0.0
1751195526507,61.4646,63.9558,0.0,0.0
1751195526557,61.5384,63.9792,0.0,0.0
1751195526657,61.488,63.9792,0.0,0.0
1751195527007,61.488,64.053,0.0,0.0
1751195527057,61.4394,63.9792,0.0,0.0
1751195527107,61.488,63.9306,0.0,0.0
1751195527207,61.488,63.9792,0.0,0.0
1751195527357,61.5384,64.0044,0.0,0.0
1751195527507,61.416,63.9558,0.0,0.0
1751195527607,61.5384,64.0044,0.0,0.0
1751195527907,61.5132,63.9792,0.0,0.0
1751195528007,61.4646,63.9792,0.0,0.0
1751195528057,61.4646,63.9792,0.0,0.0
1751195528107,61.5132,64.0044,0.0,0.0
1751195528157,61.488,64.0278,0.0,0.0
1751195528307,61.7094,64.1502,0.0,0.0
1751195528456,61.5618,64.053,0.0,0.0
1751195528706,61.6842,64.1988,0.0,0.0
1751195528757,61.5618,64.0764,0.0,0.0
1751195528807,61.587,64.1016,0.0,0.0
1751195529057,61.6104,64.053,0.0,0.0
1751195529106,61.5618,64.053,0.0,0.0
1751195529156,61.6842,64.1502,0.0,0.0
1751195529356,61.5384,64.0044,0.0,0.0
1751195529406,61.587,64.053,0.0,0.0
