t,sensor_spring_travel_rr,sensor_spring_travel_rl,sensor_brake_temp_rr,sensor_brake_temp_rl
1751195522.612400,0.000000,0.000000,0.000000,0.000000
1751195522.655250,0.000000,0.000000,0.000000,0.000000
1751195522.705300,0.000000,0.000000,0.000000,0.000000
1751195522.755300,0.000000,0.000000,0.000000,0.000000
1751195522.805250,0.000000,0.000000,0.000000,0.000000
1751195522.855300,0.000000,0.000000,0.000000,0.000000
1751195522.905250,0.000000,0.000000,0.000000,0.000000
1751195522.955300,0.000000,0.000000,0.000000,0.000000
1751195523.005300,0.000000,0.000000,0.000000,0.000000
1751195523.055250,0.000000,0.000000,0.000000,0.000000
1751195523.105300,0.000000,0.000000,0.000000,0.000000
1751195523.155250,0.000000,0.000000,0.000000,0.000000
1751195523.205300,0.000000,0.000000,0.000000,0.000000
1751195523.255300,0.000000,0.000000,0.000000,0.000000
1751195523.305300,0.000000,0.000000,0.000000,0.000000
1751195523.355300,0.000000,0.000000,0.000000,0.000000
1751195523.405250,0.000000,0.000000,0.000000,0.000000
1751195523.455300,0.000000,0.000000,0.000000,0.000000
1751195523.505300,0.000000,0.000000,0.000000,0.000000
1751195523.555300,0.000000,0.000000,0.000000,0.000000
1751195523.605300,0.000000,0.000000,0.000000,0.000000
1751195523.655300,0.000000,0.000000,0.000000,0.000000
1751195523.705300,0.000000,0.000000,0.000000,0.000000
1751195523.755300,0.000000,0.000000,0.000000,0.000000
1751195523.805300,0.000000,0.000000,0.000000,0.000000
1751195523.855300,0.000000,0.000000,0.000000,0.000000
1751195523.905300,0.000000,0.000000,0.000000,0.000000
1751195523.955300,0.000000,0.000000,0.000000,0.000000
1751195524.005300,0.000000,0.000000,0.000000,0.000000
1751195524.055300,0.000000,0.000000,0.000000,0.000000
1751195524.105300,0.000000,0.000000,0.000000,0.000000
1751195524.155300,0.000000,0.000000,0.000000,0.000000
1751195524.205300,0.000000,0.000000,0.000000,0.000000
1751195524.255300,0.000000,0.000000,0.000000,0.000000
1751195524.305300,0.000000,0.000000,0.000000,0.000000
1751195524.355300,0.000000,0.000000,0.000000,0.000000
1751195524.405300,0.000000,0.000000,0.000000,0.000000
1751195524.455300,0.000000,0.000000,0.000000,0.000000
1751195524.505300,0.000000,0.000000,0.000000,0.000000
1751195524.555300,0.000000,0.000000,0.000000,0.000000
1751195524.605300,0.000000,0.000000,0.000000,0.000000
1751195524.655300,0.000000,0.000000,0.000000,0.000000
1751195524.705300,0.000000,0.000000,0.000000,0.000000
1751195524.755300,0.000000,0.000000,0.000000,0.000000
1751195524.805350,0.000000,0.000000,0.000000,0.000000
1751195524.855300,0.000000,0.000000,0.000000,0.000000
1751195524.905350,0.000000,0.000000,0.000000,0.000000
1751195524.955300,0.000000,0.000000,0.000000,0.000000
1751195525.005300,0.000000,0.000000,0.000000,0.000000
1751195525.055350,0.000000,0.000000,0.000000,0.000000
1751195525.105300,0.000000,0.000000,0.000000,0.000000
1751195525.155350,0.000000,0.000000,0.000000,0.000000
1751195525.205300,0.000000,0.000000,0.000000,0.000000
1751195525.255300,0.000000,0.000000,0.000000,0.000000
1751195525.305350,0.000000,0.000000,0.000000,0.000000
1751195525.355300,0.000000,0.000000,0.000000,0.000000
1751195525.405350,0.000000,0.000000,0.000000,0.000000
1751195525.455300,0.000000,0.000000,0.000000,0.000000
1751195525.505350,0.000000,0.000000,0.000000,0.000000
1751195525.555350,0.000000,0.000000,0.000000,0.000000
1751195525.605350,0.000000,0.000000,0.000000,0.000000
1751195525.655350,0.000000,0.000000,0.000000,0.000000
1751195525.705300,0.000000,0.000000,0.000000,0.000000
1751195525.755350,0.000000,0.000000,0.000000,0.000000
1751195525.805350,0.000000,0.000000,0.000000,0.000000
1751195525.855350,0.000000,0.000000,0.000000,0.000000
1751195525.905350,0.000000,0.000000,0.000000,0.000000
1751195525.955350,0.000000,0.000000,0.000000,0.000000
1751195526.005350,0.000000,0.000000,0.000000,0.000000
1751195526.055350,0.000000,0.000000,0.000000,0.000000
1751195526.105350,0.000000,0.000000,0.000000,0.000000
1751195526.155350,0.000000,0.000000,0.000000,0.000000
1751195526.205350,0.000000,0.000000,0.000000,0.000000
1751195526.255350,0.000000,0.000000,0.000000,0.000000
1751195526.305350,0.000000,0.000000,0.000000,0.000000
1751195526.355350,0.000000,0.000000,0.000000,0.000000
1751195526.405350,0.000000,0.000000,0.000000,0.000000
1751195526.455350,0.000000,0.000000,0.000000,0.000000
1751195526.505350,0.000000,0.000000,0.000000,0.000000
1751195526.555350,0.000000,0.000000,0.000000,0.000000
1751195526.605350,0.000000,0.000000,0.000000,0.000000
1751195526.655350,0.000000,0.000000,0.000000,0.000000
1751195526.705350,0.000000,0.000000,0.000000,0.000000
1751195526.755350,0.000000,0.000000,0.000000,0.000000
1751195526.805350,0.000000,0.000000,0.000000,0.000000
1751195526.855350,0.000000,0.000000,0.000000,0.000000
1751195526.905350,0.000000,0.000000,0.000000,0.000000
1751195526.955350,0.000000,0.000000,0.000000,0.000000
