t,Daughter_1_T_8,Daughter_1_T_7,Daughter_1_T_6,Daughter_1_T_5,Daughter_1_T_4,Daughter_1_T_3,Daughter_1_T_2,Daughter_1_T_1
1751195521.175300,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.227850,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.280400,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.321650,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.374200,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.426750,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.479250,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.520550,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.572950,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.625400,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.678000,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.730550,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.771750,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.824250,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.876850,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.929400,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195521.970650,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.023050,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.075500,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.128100,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.180650,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.221850,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.274300,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.326800,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.379350,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.420650,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.473000,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.525500,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.578050,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.630600,30.500000,30.000000,30.500000,31.000000,30.000000,30.000000,30.000000,36.000000
1751195522.671800,30.500000,30.000000,30.500000,31.000000,30.500000,30.000000,30.000000,36.000000
