t,Daughter_8_T_8,Daughter_8_T_7,Daughter_8_T_6,Daughter_8_T_5,Daughter_8_T_4,Daughter_8_T_3,Daughter_8_T_2,Daughter_8_T_1
1751195521.176950,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.229500,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.282050,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.323300,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.375800,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.428350,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.480900,31.500000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195521.522100,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.574550,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.627050,31.000000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195521.679600,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.732100,31.500000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195521.773400,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.825900,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.878450,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195521.972200,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.024650,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.077150,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.129750,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.182200,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.223500,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.275950,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.328450,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.422200,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.474650,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.527150,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.579700,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.632150,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.673450,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.725900,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.778400,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.872150,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195522.924600,31.500000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195522.977050,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.029600,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.082100,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.123400,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.175850,31.500000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.228400,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.322150,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.374650,31.500000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195523.427100,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.479650,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.532150,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.573450,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.625950,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.678500,31.500000,31.000000,31.500000,31.500000,31.500000,31.000000,31.000000,31.500000
1751195523.731000,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
1751195523.772250,31.000000,31.000000,31.500000,31.500000,31.000000,31.000000,31.000000,31.500000
