t,Cell_Voltage_072,Cell_Voltage_071,Cell_Voltage_070,Cell_Voltage_069,Cell_Voltage_068,Cell_Voltage_067,Cell_Voltage_066,Cell_Voltage_065
1751195521.171700,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.224250,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.276800,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.318000,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.370550,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.423150,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.475650,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.516950,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.569450,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.621800,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.674350,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.726950,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.768150,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.820700,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.873250,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.925800,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195521.967050,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195522.019550,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195522.071900,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
1751195522.124450,4.020000,4.020000,4.020000,4.020000,4.020000,4.110000,4.020000,4.020000
