t,ams_reset,ams_stop_charging,ams_charging_request,ams_precharge_req,ams_balancing_req
1751195521.460800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.470750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.481000,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.490750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.500800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.510750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.520900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.530750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.540750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.550700,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.560750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.570900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.580800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.590750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.600750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.610800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.620900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.630750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.640800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.650750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.660900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.670750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.680750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.690900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.700700,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.710750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.720750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.730950,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.740750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.750750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.760750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.770850,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.780750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.790750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.800750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.810750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.820850,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.830700,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.840750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.850750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.860800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.870950,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.880750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.890800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.900750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.910750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.920800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.930900,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.940750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.950800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.960750,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.970800,0.000000,0.000000,0.000000,0.000000,0.000000
1751195521.980750,0.000000,0.000000,0.000000,0.000000,0.000000
