t,ams_voltage_max_8,ams_voltage_max_7,ams_voltage_max_6,ams_voltage_max_5,ams_voltage_max_4,ams_voltage_max_3,ams_voltage_max_2,ams_voltage_max_1
1751195521.188100,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.199350,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.210650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.221900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.240650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.251900,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.263200,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.274450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.293150,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.304400,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.315650,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.334450,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.345700,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.356950,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.368250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.386950,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.398250,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.409500,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.420800,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
1751195521.439500,4.010000,4.020000,4.040000,4.110000,4.030000,4.040000,4.030000,4.030000
