t,ams_voltage_max_9
1751195521.188200,3.990000
1751195521.199500,3.990000
1751195521.210750,3.990000
1751195521.222000,3.990000
1751195521.240750,3.990000
1751195521.252000,3.990000
1751195521.263300,3.990000
1751195521.274550,3.990000
1751195521.293250,3.990000
1751195521.304550,3.990000
1751195521.315800,3.990000
1751195521.334550,3.990000
1751195521.345850,3.990000
1751195521.357100,3.990000
1751195521.368350,3.990000
1751195521.387100,3.990000
1751195521.398350,3.990000
1751195521.409600,3.990000
1751195521.420900,3.990000
1751195521.439600,3.990000
1751195521.450850,3.990000
1751195521.462150,3.990000
1751195521.473400,3.990000
1751195521.492150,3.990000
1751195521.503400,3.990000
1751195521.514700,3.990000
1751195521.533350,3.990000
1751195521.544600,3.990000
1751195521.555900,3.990000
1751195521.567150,3.990000
1751195521.585800,3.990000
1751195521.597100,3.990000
1751195521.608350,3.990000
1751195521.619650,3.990000
1751195521.638300,3.990000
1751195521.649550,3.990000
1751195521.672100,3.990000
1751195521.702150,3.990000
1751195521.713400,3.990000
1751195521.724700,3.990000
1751195521.743400,3.990000
1751195521.754650,3.990000
1751195521.765950,3.990000
1751195521.784650,3.990000
1751195521.795950,3.990000
1751195521.807200,3.990000
1751195521.818500,3.990000
1751195521.837150,3.990000
1751195521.848400,3.990000
1751195521.859700,3.990000
1751195521.889700,3.990000
1751195521.900900,3.990000
1751195521.912250,3.990000
1751195521.923500,3.990000
1751195521.942250,3.990000
1751195521.953550,3.990000
1751195521.964800,3.990000
1751195521.983450,3.990000
1751195521.994750,3.990000
1751195522.006000,3.990000
1751195522.017250,3.990000
1751195522.035900,3.990000
1751195522.047200,3.990000
1751195522.058450,3.990000
1751195522.069750,3.990000
1751195522.088400,3.990000
1751195522.099700,3.990000
1751195522.122200,3.990000
1751195522.140850,3.990000
1751195522.152200,3.990000
1751195522.163550,3.990000
1751195522.174800,3.990000
1751195522.193450,3.990000
1751195522.204700,3.990000
1751195522.216000,3.990000
1751195522.234750,3.990000
1751195522.246000,3.990000
1751195522.257300,3.990000
1751195522.268550,3.990000
1751195522.287200,3.990000
1751195522.298500,3.990000
1751195522.309750,3.990000
1751195522.320950,3.990000
1751195522.339700,3.990000
1751195522.350900,3.990000
1751195522.362250,3.990000
1751195522.373550,3.990000
1751195522.392250,3.990000
1751195522.403550,3.990000
1751195522.414800,3.990000
1751195522.433450,3.990000
1751195522.444750,3.990000
1751195522.456000,3.990000
1751195522.467250,3.990000
1751195522.485900,3.990000
1751195522.497200,3.990000
1751195522.508450,3.990000
1751195522.519750,3.990000
1751195522.538400,3.990000
1751195522.549650,3.990000
1751195522.572200,3.990000
1751195522.590900,3.990000
1751195522.602250,3.990000
1751195522.613500,3.990000
1751195522.624750,3.990000
1751195522.643400,3.990000
1751195522.654700,3.990000
1751195522.665950,3.990000
1751195522.684700,3.990000
1751195522.696000,3.990000
1751195522.707250,3.990000
1751195522.718550,3.990000
1751195522.737150,3.990000
1751195522.748450,3.990000
1751195522.759750,3.990000
1751195522.770900,3.990000
1751195522.789650,3.990000
1751195522.812150,3.990000
1751195522.823500,3.990000
1751195522.842200,3.990000
1751195522.853450,3.990000
1751195522.864750,3.990000
1751195522.883400,3.990000
1751195522.894700,3.990000
1751195522.905950,3.990000
1751195522.917200,3.990000
1751195522.935900,3.990000
1751195522.947150,3.990000
1751195522.958400,3.990000
1751195522.969650,3.990000
1751195522.988300,3.990000
1751195522.999600,3.990000
1751195523.022150,3.990000
1751195523.052100,3.990000
1751195523.063400,3.990000
1751195523.074700,3.990000
1751195523.093350,3.990000
1751195523.104600,3.990000
1751195523.115900,3.990000
1751195523.134650,3.990000
1751195523.145900,3.990000
1751195523.157200,3.990000
1751195523.168450,3.990000
1751195523.187100,3.990000
1751195523.198350,3.990000
1751195523.209650,3.990000
1751195523.239700,3.990000
1751195523.250900,3.990000
1751195523.262250,3.990000
1751195523.273550,3.990000
1751195523.292250,3.990000
1751195523.303550,3.990000
1751195523.314800,3.990000
1751195523.333450,3.990000
1751195523.344700,3.990000
1751195523.356000,3.990000
1751195523.367250,3.990000
1751195523.385900,3.990000
1751195523.397200,3.990000
1751195523.408450,3.990000
1751195523.419750,3.990000
1751195523.438400,3.990000
1751195523.449650,3.990000
1751195523.472200,3.990000
1751195523.502200,3.990000
1751195523.513500,3.990000
1751195523.524750,3.990000
1751195523.543450,3.990000
1751195523.554700,3.990000
1751195523.565950,3.990000
1751195523.584700,3.990000
1751195523.596000,3.990000
1751195523.607250,3.990000
1751195523.618550,3.990000
1751195523.637200,3.990000
