t,ams_voltage_min_8,ams_voltage_min_7,ams_voltage_min_6,ams_voltage_min_5,ams_voltage_min_4,ams_voltage_min_3,ams_voltage_min_2,ams_voltage_min_1
1751195521.187750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.199050,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.210300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.221550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.240300,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.251550,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.262850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.274100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.292800,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.304100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.315350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.334100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.345350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.356650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.367900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.386650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.397900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.409200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.420450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.439200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.450450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.461700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.472950,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.491700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.503000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.514250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.532900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.544150,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.555450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.566750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.585350,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.596650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.607900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.619200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.637850,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.649100,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.660400,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.671650,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.690450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.701700,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.713000,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.724250,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.742900,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.754200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.765450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.784200,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.795450,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
1751195521.806750,4.010000,4.010000,4.010000,4.020000,4.020000,4.020000,4.020000,3.990000
