t,ams_voltage_min_9
1751195521.187850,2.770000
1751195521.199150,2.760000
1751195521.210400,2.760000
1751195521.221700,2.760000
1751195521.240400,2.750000
1751195521.251700,2.760000
1751195521.262950,2.760000
1751195521.274200,2.760000
1751195521.292950,2.750000
1751195521.304200,2.770000
1751195521.315450,2.770000
1751195521.334250,2.770000
1751195521.345500,2.770000
1751195521.356750,2.760000
1751195521.368000,2.760000
1751195521.386750,2.770000
1751195521.398000,2.770000
1751195521.409250,2.760000
1751195521.420550,2.770000
1751195521.439250,2.770000
1751195521.450550,2.770000
1751195521.461800,2.770000
1751195521.473100,2.760000
1751195521.491800,2.780000
1751195521.503100,2.770000
1751195521.514350,2.780000
1751195521.533000,2.770000
1751195521.544300,2.770000
1751195521.555550,2.780000
1751195521.566850,2.770000
1751195521.585500,2.790000
1751195521.596750,2.780000
1751195521.608050,2.770000
1751195521.619300,2.780000
1751195521.637950,2.780000
1751195521.649250,2.780000
1751195521.660500,2.810000
1751195521.671800,2.780000
1751195521.690500,2.780000
1751195521.701800,2.770000
1751195521.713050,2.790000
1751195521.724350,2.810000
1751195521.743050,2.780000
1751195521.754300,2.790000
1751195521.765600,2.790000
1751195521.784300,2.790000
1751195521.795600,2.790000
1751195521.806900,2.790000
1751195521.818150,2.790000
1751195521.836800,2.770000
1751195521.848050,2.790000
1751195521.859350,2.780000
1751195521.870600,2.780000
1751195521.889350,2.780000
1751195521.900650,2.780000
1751195521.911900,2.790000
1751195521.923200,2.800000
1751195521.941950,2.780000
1751195521.953200,2.790000
1751195521.964500,2.800000
1751195521.983100,2.790000
1751195521.994400,2.770000
1751195522.005700,2.800000
1751195522.016950,2.800000
1751195522.035600,2.780000
1751195522.046900,2.780000
1751195522.058150,2.800000
1751195522.069450,2.790000
1751195522.088050,2.810000
1751195522.099350,2.790000
1751195522.110650,2.790000
1751195522.121900,2.800000
1751195522.140650,2.800000
1751195522.151900,2.790000
1751195522.163200,2.790000
1751195522.174450,2.790000
1751195522.193100,2.780000
1751195522.204400,2.790000
1751195522.215650,2.790000
1751195522.234400,2.800000
1751195522.245650,2.790000
1751195522.256950,2.800000
1751195522.268200,2.790000
1751195522.286850,2.780000
1751195522.298150,2.800000
1751195522.309400,2.800000
1751195522.320700,2.800000
1751195522.339400,2.790000
1751195522.350650,2.810000
1751195522.361900,2.810000
1751195522.373200,2.780000
1751195522.391900,2.800000
1751195522.403200,2.800000
1751195522.414450,2.800000
1751195522.433100,2.820000
1751195522.444350,2.810000
1751195522.455650,2.810000
1751195522.466900,2.800000
1751195522.485550,2.820000
1751195522.496850,2.810000
1751195522.508100,2.800000
1751195522.519400,2.800000
1751195522.538050,2.800000
1751195522.549300,2.800000
1751195522.560600,2.810000
1751195522.571850,2.810000
1751195522.590600,2.800000
1751195522.601900,2.790000
1751195522.613150,2.820000
1751195522.624400,2.800000
1751195522.643050,2.820000
1751195522.654350,2.810000
1751195522.665600,2.820000
1751195522.684350,2.820000
1751195522.695650,2.810000
1751195522.706900,2.810000
1751195522.718200,2.800000
1751195522.736800,2.770000
1751195522.748100,2.800000
1751195522.759400,2.810000
1751195522.770650,2.800000
1751195522.789300,2.840000
1751195522.800550,2.810000
1751195522.811850,2.820000
1751195522.823150,2.790000
1751195522.841850,2.810000
1751195522.853100,2.790000
1751195522.864400,2.810000
1751195522.883050,2.800000
1751195522.894350,2.840000
1751195522.905600,2.810000
1751195522.916850,2.800000
1751195522.935550,2.810000
