t,ams_shunt_voltage,ams_shunt_current,ams_shunt_amp_seconds
1751195521.222250,2.640000,0.000000,12800.000000
1751195521.274750,2.690000,0.000000,12800.000000
1751195521.316000,2.690000,0.000000,12800.000000
1751195521.368550,2.660000,0.000000,12800.000000
1751195521.421100,2.650000,0.000000,12800.000000
1751195521.473650,2.650000,0.000000,12800.000000
1751195521.514900,2.660000,0.000000,12800.000000
1751195521.567400,2.650000,0.000000,12800.000000
1751195521.619850,2.650000,0.000000,12800.000000
1751195521.672350,2.650000,0.000000,12800.000000
1751195521.724900,2.640000,0.000000,12800.000000
1751195521.766100,2.660000,0.000000,12800.000000
1751195521.818700,2.630000,0.000000,12800.000000
1751195521.871200,2.640000,0.000000,12800.000000
1751195521.923750,2.640000,0.000000,12800.000000
1751195521.965050,2.640000,0.000000,12800.000000
1751195522.017500,2.640000,0.000000,12800.000000
1751195522.070000,2.620000,0.000000,12800.000000
1751195522.122450,2.610000,0.000000,12800.000000
1751195522.175000,2.630000,0.000000,12800.000000
1751195522.216200,2.630000,0.000000,12800.000000
1751195522.268750,2.640000,0.000000,12800.000000
1751195522.321150,2.630000,0.000000,12800.000000
1751195522.373750,2.560000,0.000000,12800.000000
1751195522.415000,2.610000,0.000000,12800.000000
1751195522.467450,2.640000,0.000000,12800.000000
1751195522.519950,2.610000,0.000000,12800.000000
1751195522.572400,2.610000,0.000000,12800.000000
1751195522.624950,2.610000,0.000000,12800.000000
1751195522.666150,2.580000,0.000000,12800.000000
1751195522.718700,2.590000,0.000000,12800.000000
1751195522.771100,2.590000,0.000000,12800.000000
1751195522.823650,2.610000,0.000000,12800.000000
1751195522.864950,2.610000,0.000000,12800.000000
1751195522.917400,2.580000,0.000000,12800.000000
1751195522.969900,2.610000,0.000000,12800.000000
1751195523.022350,2.580000,0.000000,12800.000000
1751195523.074900,2.580000,0.000000,12800.000000
1751195523.116100,2.550000,0.000000,12800.000000
1751195523.168650,2.550000,0.000000,12800.000000
1751195523.221150,2.570000,0.000000,12800.000000
1751195523.273700,2.580000,0.000000,12800.000000
1751195523.315050,2.590000,0.000000,12800.000000
1751195523.367450,2.560000,0.000000,12800.000000
1751195523.419950,2.550000,0.000000,12800.000000
1751195523.472400,2.550000,0.000000,12800.000000
1751195523.524950,2.580000,0.000000,12800.000000
1751195523.566150,2.520000,0.000000,12800.000000
1751195523.618750,2.570000,0.000000,12800.000000
1751195523.671250,2.560000,0.000000,12800.000000
1751195523.723800,2.550000,0.000000,12800.000000
1751195523.765100,2.550000,0.000000,12800.000000
1751195523.817550,2.520000,0.000000,12800.000000
1751195523.870050,2.530000,0.000000,12800.000000
1751195523.922500,2.530000,0.000000,12800.000000
1751195523.975050,2.530000,0.000000,12800.000000
1751195524.016250,2.520000,0.000000,12800.000000
1751195524.068800,2.520000,0.000000,12800.000000
1751195524.121300,2.540000,0.000000,12800.000000
1751195524.173850,2.520000,0.000000,12800.000000
1751195524.215150,2.530000,0.000000,12800.000000
1751195524.267600,2.500000,0.000000,12800.000000
1751195524.320050,2.520000,0.000000,12800.000000
1751195524.372550,2.520000,0.000000,12800.000000
1751195524.425100,2.520000,0.000000,12800.000000
